enticve1,sexostt,sexos1,sexos2,descrip
01,40,37,3,18 a 24 años
01,58,49,9,25 a 29 años
01,39,33,6,30 a 34 años
01,31,24,7,35 a 39 años
01,17,14,3,40 a 44 años
01,24,17,7,45 a 49 años
01,13,12,1,50 a 54 años
01,6,6,0,55 a 59 años
01,9,6,3,60 años o más
01,3902,3316,586,No identificado
01,NA,NA,NA,No especificado
02,2670,2416,254,18 a 24 años
02,2820,2537,283,25 a 29 años
02,2565,2311,254,30 a 34 años
02,2105,1895,210,35 a 39 años
02,1654,1473,181,40 a 44 años
02,1183,1055,128,45 a 49 años
02,706,632,74,50 a 54 años
02,421,372,49,55 a 59 años
02,383,323,60,60 años o más
02,4306,3719,587,No identificado
02,NA,NA,NA,No especificado
03,0,0,0,18 a 24 años
03,0,0,0,25 a 29 años
03,0,0,0,30 a 34 años
03,0,0,0,35 a 39 años
03,0,0,0,40 a 44 años
03,0,0,0,45 a 49 años
03,0,0,0,50 a 54 años
03,0,0,0,55 a 59 años
03,0,0,0,60 años o más
03,3059,2616,443,No identificado
03,NA,NA,NA,No especificado
04,69,60,9,18 a 24 años
04,80,76,4,25 a 29 años
04,69,63,6,30 a 34 años
04,55,50,5,35 a 39 años
04,47,41,6,40 a 44 años
04,31,27,4,45 a 49 años
04,20,16,4,50 a 54 años
04,11,9,2,55 a 59 años
04,6,5,1,60 años o más
04,288,255,33,No identificado
04,NA,NA,NA,No especificado
05,909,836,73,18 a 24 años
05,816,745,71,25 a 29 años
05,695,646,49,30 a 34 años
05,584,547,37,35 a 39 años
05,386,367,19,40 a 44 años
05,243,221,22,45 a 49 años
05,129,124,5,50 a 54 años
05,60,52,8,55 a 59 años
05,70,63,7,60 años o más
05,6276,5627,649,No identificado
05,NA,NA,NA,No especificado
06,NSS,NSS,NSS,18 a 24 años
06,NSS,NSS,NSS,25 a 29 años
06,NSS,NSS,NSS,30 a 34 años
06,NSS,NSS,NSS,35 a 39 años
06,NSS,NSS,NSS,40 a 44 años
06,NSS,NSS,NSS,45 a 49 años
06,NSS,NSS,NSS,50 a 54 años
06,NSS,NSS,NSS,55 a 59 años
06,NSS,NSS,NSS,60 años o más
06,NSS,NSS,NSS,No identificado
06,NA,NA,NA,No especificado
07,365,340,25,18 a 24 años
07,279,259,20,25 a 29 años
07,269,245,24,30 a 34 años
07,260,240,20,35 a 39 años
07,198,176,22,40 a 44 años
07,142,131,11,45 a 49 años
07,122,110,12,50 a 54 años
07,65,57,8,55 a 59 años
07,76,67,9,60 años o más
07,754,687,67,No identificado
07,NA,NA,NA,No especificado
08,1485,1387,98,18 a 24 años
08,1347,1231,116,25 a 29 años
08,1224,1125,99,30 a 34 años
08,943,870,73,35 a 39 años
08,717,646,71,40 a 44 años
08,526,475,51,45 a 49 años
08,328,300,28,50 a 54 años
08,211,192,19,55 a 59 años
08,225,196,29,60 años o más
08,12824,11742,1082,No identificado
08,NA,NA,NA,No especificado
09,1074,905,169,18 a 24 años
09,1018,877,141,25 a 29 años
09,937,798,139,30 a 34 años
09,933,814,119,35 a 39 años
09,630,542,88,40 a 44 años
09,508,418,90,45 a 49 años
09,375,305,70,50 a 54 años
09,198,166,32,55 a 59 años
09,205,165,40,60 años o más
09,22782,19580,3202,No identificado
09,NA,NA,NA,No especificado
10,314,286,28,18 a 24 años
10,352,316,36,25 a 29 años
10,304,272,32,30 a 34 años
10,255,231,24,35 a 39 años
10,187,175,12,40 a 44 años
10,130,115,15,45 a 49 años
10,96,78,18,50 a 54 años
10,51,48,3,55 a 59 años
10,73,61,12,60 años o más
10,3057,2560,497,No identificado
10,NA,NA,NA,No especificado
11,63,56,7,18 a 24 años
11,55,48,7,25 a 29 años
11,44,36,8,30 a 34 años
11,29,24,5,35 a 39 años
11,40,35,5,40 a 44 años
11,28,23,5,45 a 49 años
11,7,6,1,50 a 54 años
11,7,6,1,55 a 59 años
11,15,13,2,60 años o más
11,13694,12336,1358,No identificado
11,NA,NA,NA,No especificado
12,126,113,13,18 a 24 años
12,110,101,9,25 a 29 años
12,113,94,19,30 a 34 años
12,97,84,13,35 a 39 años
12,74,62,12,40 a 44 años
12,44,41,3,45 a 49 años
12,23,19,4,50 a 54 años
12,21,19,2,55 a 59 años
12,32,26,6,60 años o más
12,3259,2721,538,No identificado
12,52,44,8,No especificado
13,433,364,69,18 a 24 años
13,484,403,81,25 a 29 años
13,470,379,91,30 a 34 años
13,435,341,94,35 a 39 años
13,358,279,79,40 a 44 años
13,252,199,53,45 a 49 años
13,177,137,40,50 a 54 años
13,88,66,22,55 a 59 años
13,170,127,43,60 años o más
13,2945,2361,584,No identificado
13,NA,NA,NA,No especificado
14,462,428,34,18 a 24 años
14,337,302,35,25 a 29 años
14,307,283,24,30 a 34 años
14,277,247,30,35 a 39 años
14,206,193,13,40 a 44 años
14,153,141,12,45 a 49 años
14,96,88,8,50 a 54 años
14,52,50,2,55 a 59 años
14,66,63,3,60 años o más
14,8019,7055,964,No identificado
14,NA,NA,NA,No especificado
15,3154,2842,312,18 a 24 años
15,2567,2320,247,25 a 29 años
15,2051,1846,205,30 a 34 años
15,1516,1365,151,35 a 39 años
15,1040,935,105,40 a 44 años
15,717,617,100,45 a 49 años
15,436,374,62,50 a 54 años
15,245,203,42,55 a 59 años
15,283,251,32,60 años o más
15,6975,5975,1000,No identificado
15,NA,NA,NA,No especificado
16,671,605,66,18 a 24 años
16,607,529,78,25 a 29 años
16,554,472,82,30 a 34 años
16,435,381,54,35 a 39 años
16,361,317,44,40 a 44 años
16,259,224,35,45 a 49 años
16,168,139,29,50 a 54 años
16,115,94,21,55 a 59 años
16,178,154,24,60 años o más
16,3240,2967,273,No identificado
16,NA,NA,NA,No especificado
17,362,313,49,18 a 24 años
17,304,274,30,25 a 29 años
17,232,207,25,30 a 34 años
17,159,143,16,35 a 39 años
17,123,114,9,40 a 44 años
17,82,70,12,45 a 49 años
17,63,58,5,50 a 54 años
17,26,22,4,55 a 59 años
17,58,47,11,60 años o más
17,1124,961,163,No identificado
17,NA,NA,NA,No especificado
18,366,305,61,18 a 24 años
18,361,328,33,25 a 29 años
18,414,370,44,30 a 34 años
18,375,337,38,35 a 39 años
18,309,282,27,40 a 44 años
18,236,212,24,45 a 49 años
18,166,142,24,50 a 54 años
18,89,80,9,55 a 59 años
18,121,109,12,60 años o más
18,1676,1484,192,No identificado
18,NA,NA,NA,No especificado
19,3547,3185,362,18 a 24 años
19,3006,2700,306,25 a 29 años
19,2789,2509,280,30 a 34 años
19,2227,1998,229,35 a 39 años
19,1573,1389,184,40 a 44 años
19,1079,953,126,45 a 49 años
19,637,542,95,50 a 54 años
19,359,307,52,55 a 59 años
19,370,328,42,60 años o más
19,28,23,5,No identificado
19,NA,NA,NA,No especificado
20,4,2,2,18 a 24 años
20,15,0,15,25 a 29 años
20,89,0,89,30 a 34 años
20,549,521,28,35 a 39 años
20,89,89,0,40 a 44 años
20,61,56,5,45 a 49 años
20,101,101,0,50 a 54 años
20,3,3,0,55 a 59 años
20,NSS,NSS,NSS,60 años o más
20,39,39,0,No identificado
20,NA,NA,NA,No especificado
21,569,521,48,18 a 24 años
21,404,364,40,25 a 29 años
21,339,295,44,30 a 34 años
21,235,209,26,35 a 39 años
21,194,170,24,40 a 44 años
21,132,111,21,45 a 49 años
21,77,67,10,50 a 54 años
21,44,39,5,55 a 59 años
21,51,40,11,60 años o más
21,4478,3790,688,No identificado
21,NA,NA,NA,No especificado
22,431,391,40,18 a 24 años
22,449,415,34,25 a 29 años
22,384,355,29,30 a 34 años
22,299,278,21,35 a 39 años
22,197,179,18,40 a 44 años
22,155,139,16,45 a 49 años
22,97,87,10,50 a 54 años
22,45,39,6,55 a 59 años
22,51,46,5,60 años o más
22,1087,979,108,No identificado
22,NA,NA,NA,No especificado
23,180,168,12,18 a 24 años
23,160,147,13,25 a 29 años
23,119,110,9,30 a 34 años
23,98,91,7,35 a 39 años
23,75,62,13,40 a 44 años
23,65,58,7,45 a 49 años
23,32,30,2,50 a 54 años
23,21,17,4,55 a 59 años
23,24,22,2,60 años o más
23,2469,2167,302,No identificado
23,NA,NA,NA,No especificado
24,41,37,4,18 a 24 años
24,49,46,3,25 a 29 años
24,49,46,3,30 a 34 años
24,38,35,3,35 a 39 años
24,20,17,3,40 a 44 años
24,24,18,6,45 a 49 años
24,13,12,1,50 a 54 años
24,6,5,1,55 a 59 años
24,15,14,1,60 años o más
24,984,901,83,No identificado
24,NA,NA,NA,No especificado
25,181,169,12,18 a 24 años
25,265,241,24,25 a 29 años
25,299,259,40,30 a 34 años
25,267,236,31,35 a 39 años
25,233,209,24,40 a 44 años
25,170,158,12,45 a 49 años
25,122,106,16,50 a 54 años
25,107,91,16,55 a 59 años
25,91,85,6,60 años o más
25,821,730,91,No identificado
25,NA,NA,NA,No especificado
26,1735,1632,103,18 a 24 años
26,1779,1636,143,25 a 29 años
26,1646,1518,128,30 a 34 años
26,1394,1275,119,35 a 39 años
26,1066,977,89,40 a 44 años
26,749,698,51,45 a 49 años
26,474,416,58,50 a 54 años
26,231,210,21,55 a 59 años
26,204,169,35,60 años o más
26,4448,4010,438,No identificado
26,NA,NA,NA,No especificado
27,153,147,6,18 a 24 años
27,143,127,16,25 a 29 años
27,147,138,9,30 a 34 años
27,129,117,12,35 a 39 años
27,136,118,18,40 a 44 años
27,95,83,12,45 a 49 años
27,68,60,8,50 a 54 años
27,33,31,2,55 a 59 años
27,56,49,7,60 años o más
27,5417,4854,563,No identificado
27,NA,NA,NA,No especificado
28,0,0,0,18 a 24 años
28,0,0,0,25 a 29 años
28,0,0,0,30 a 34 años
28,0,0,0,35 a 39 años
28,0,0,0,40 a 44 años
28,0,0,0,45 a 49 años
28,0,0,0,50 a 54 años
28,0,0,0,55 a 59 años
28,0,0,0,60 años o más
28,2368,1963,405,No identificado
28,NA,NA,NA,No especificado
29,210,196,14,18 a 24 años
29,198,174,24,25 a 29 años
29,174,155,19,30 a 34 años
29,165,148,17,35 a 39 años
29,119,102,17,40 a 44 años
29,71,64,7,45 a 49 años
29,53,43,10,50 a 54 años
29,26,18,8,55 a 59 años
29,33,21,12,60 años o más
29,456,373,83,No identificado
29,NA,NA,NA,No especificado
30,496,434,62,18 a 24 años
30,424,367,57,25 a 29 años
30,414,372,42,30 a 34 años
30,325,271,54,35 a 39 años
30,243,204,39,40 a 44 años
30,199,173,26,45 a 49 años
30,162,143,19,50 a 54 años
30,89,79,10,55 a 59 años
30,111,91,20,60 años o más
30,5073,4271,802,No identificado
30,NA,NA,NA,No especificado
31,151,135,16,18 a 24 años
31,169,149,20,25 a 29 años
31,161,143,18,30 a 34 años
31,147,131,16,35 a 39 años
31,95,85,10,40 a 44 años
31,79,70,9,45 a 49 años
31,62,52,10,50 a 54 años
31,44,40,4,55 a 59 años
31,62,50,12,60 años o más
31,410,354,56,No identificado
31,NA,NA,NA,No especificado
32,416,363,53,18 a 24 años
32,472,400,72,25 a 29 años
32,461,401,60,30 a 34 años
32,407,349,58,35 a 39 años
32,326,285,41,40 a 44 años
32,292,252,40,45 a 49 años
32,199,168,31,50 a 54 años
32,109,90,19,55 a 59 años
32,184,162,22,60 años o más
32,1864,1627,237,No identificado
32,NA,NA,NA,No especificado
